term,frequency
footed,1
vessels,1
burial,1
sites,1
southern,1
served,1
funeral,1
hold,1
decant,1
liquid,1
mohawk,1
opening,1
fluted,1
reinforced,1
staple,1
kingdoms,1
676,1
earthenware,1
lila,1
acheson,1
wallace,1
high,1
rolled,1
evenly,1
jung,1
refer,1
junghui,1
dang,1
now,1
emperor,1
gojong,1
1864,1
1907,1
foreign,1
envoys,1
seoul's,1
changgyeonggung,1
prevent,1
adhering,1
sand,1
applied,1
seymour,1
1965,1
steep,1
sloping,1
triangular,1
silhouette,1
hash,1
hint,1
minimal,1
repeated,1
strokes,1
echoing,1
chrysanthemum,1
indented,1
larger,1
schemes,1
suggesting,1
pooled,1
ornamentation,1
whimsical,1
multidirectional,1
hatches,1
resembling,1
streaming,1
ends,1
fine,1
make,1
1916,1
122,1
accession,1
652,1
marbled,1
covered,1
show,1
unglazed,1
marbling,1
hue,1
celadons,1
example's,1
spiral,1
comes,1
intentional,1
blending,1
clays,1
contents,1
charming,1
pattern,1
kathleen,1
linburn,1
animal,1
remarkably,1
stand,1
upright,1
hind,1
legs,1
lifting,1
circular,1
outstretched,1
paws,1
tilting,1
upward,1
oversize,1
heads,1
dramatic,1
recalls,1
bases,1
silla,1
lanterns,1
eighth,1
ninth,1
centuries,1
candlesticks,1
like,1
seals,1
octagonal,1
indecipherable,1
disciple,1
modeled,1
solid,1
core,1
structural,1
overlaid,1
painted,1
found,1
pigment,1
tab,1
arabesque,1
sea,1
bronzes,1
ceremonies,1
life,1
flanking,1
animatedly,1
peering,1
steaming,1
tripod,1
cauldron,1
embellish,1
lunisolar,1
mirror's,1
components,1
daoist,1
confucian,1
adopted,1
represent,1
ohaeng,1
followed,1
eight,1
trigrams,1
palgwae,1
heavenly,1
stems,1
cheongan,1
twelve,1
zodiac,1
register,1
outermost,1
solar,1
jeolgi,1
script,1
assigned,1
seasons,1
inscriptions,1
arrived,1
sixth,1
peninsula's,1
predominant,1
belief,1
system,1
state,1
religion,1
flourished,1
patronage,1
mantras,1
commonly,1
appeared,1
secular,1
popular,1
sixteen,1
comprise,1
om,1
mani,1
padme,1
hum,1
mantra,1
chanted,1
gain,1
enlightenment,1
peacock,1
emerged,1
neolithic,1
ages,1
notably,1
china,1
japan,1
practical,1
thought,1
ward,1
evil,1
ranging,1
austere,1
ornamented,1
examples,1
intercultural,1
connections,1
advances,1
cast,1
metalwork,1
exclusively,1
exhibited,1
polished,1
surfaces,1
demonstrate,1
weathering,1
patina,1
reflect,1
corner,1
hall,1
beast's,1
bulging,1
flaring,1
nostrils,1
scales,1
fierceness,1
invincibility,1
creature,1
secure,1
heavy,1
object,1
roof,1
functioned,1
plate,1
clapper,1
suspended,1
loop,1
hook,1
faces,1
swastika,1
associated,1
platform,1
comparable,1
extant,1
leeum,1
seoul,1
vincent,1
astor,1
benefit,1
rosenkranz,1
inc,1
short,1
sound,1
min,1
sec,1
courtesy,1
presents,1
landscape,1
rock,1
flowering,1
trees,1
illustrating,1
intersection,1
finely,1
stitched,1
wide,1
range,1
colors,1
bright,1
tan,1
articulated,1
veins,1
shading,1
inspired,1
rocks,1
fanciful,1
purple,1
hues,1
outlined,1
dark,1
since,1
sensitive,1
conservators,1
examined,1
ultraviolet,1
causing,1
glow,1
mass,1
spectrometry,1
analysis,1
fluorescence,1
presence,1
synthetic,1
dye,1
developed,1
confirming,1
screen's,1
nineteenth,1
date,1
panel,1
folding,1
577,1
